molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL345798,CNC(=O)N(C)C(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,9670000.0,inactive
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1.7,active
CHEMBL154893,CCCCCCCCCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,20700000.0,inactive
CHEMBL152279,CCCCNC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,11100000.0,inactive
CHEMBL420827,CN(CCOCCNC(=S)Nc1cccc2ccccc12)Cc1ccccc1,10000.0,inactive
CHEMBL100718,CN(CCOCCNC(=S)NC(=O)C1=CC2C(=O)c3ccccc3C(=O)C2C=C1)Cc1ccccc1,6.0,active
CHEMBL100020,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1,13.0,active
CHEMBL101028,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,1000.0,active
CHEMBL102142,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,77.0,active
CHEMBL99606,CN(CCOCC/N=C(\S)Nc1cccnc1)Cc1ccccc1,4000.0,intermediate
CHEMBL156882,CCCCCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,9360000.0,inactive
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,80.0,active
CHEMBL101518,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,30.0,active
CHEMBL156957,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)CCOc4ccc(F)cc4)C=C[C@@]31CCN(C)C2,48300000.0,inactive
CHEMBL430679,CN(CCOCCNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1)Cc1ccccc1,15.0,active
CHEMBL101988,CN(CCOCCNC(=S)Nc1ccc(Cl)cc1)Cc1ccccc1,1800.0,intermediate
CHEMBL154026,CCCNC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,3130000.0,inactive
CHEMBL329518,COc1ccc(NC(=S)NCCOCCN(C)Cc2cccc([N+](=O)[O-])c2)cc1OC,1500.0,intermediate
CHEMBL329733,CCN(CCOCCNC(=O)NCc1ccccc1)CC1CCCCC1,10000.0,inactive
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,1030000.0,inactive
CHEMBL101155,CN(CCOCCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,1100.0,intermediate
CHEMBL421820,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)c4ccc(F)c([N+](=O)[O-])c4)C=C[C@@]31CCN(C)C2,11300000.0,inactive
CHEMBL101940,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,55.0,active
CHEMBL101809,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,230.0,active
CHEMBL436226,CCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,9460000.0,inactive
CHEMBL317541,CN(CCOCCNC(=S)NC(=O)c1ccccc1)C1CCCCC1,13.0,active
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,538.0,active
CHEMBL117521,C1=CC2N=C3CCCCC3=C(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)C2C=C1,0.4,active
CHEMBL19470,Cc1c[n+](CCN)ccc1/C=C/c1cccc2ccccc12.[Br-],30000.0,inactive
CHEMBL18863,CCCCCCC(C)OC(=O)CC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],350000.0,inactive
CHEMBL278742,OCCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],36000.0,inactive
CHEMBL282920,C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[I-],30000.0,inactive
CHEMBL19486,OCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],68000.0,inactive
CHEMBL538103,CC1[N+](C)=CC=[N+]1C.[I-].[I-],120000.0,inactive
CHEMBL19337,Cc1c[n+](CCC(=O)O)ccc1/C=C/c1cccc2ccccc12.[Br-],750000.0,inactive
CHEMBL279153,NC(=O)NC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],140000.0,inactive
CHEMBL278327,NC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[I-],80000.0,inactive
CHEMBL279876,CC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],151.0,active
CHEMBL278309,CCOC(=O)C(C(=O)OCC)[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],500000.0,inactive
CHEMBL18903,CCCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],3900.0,intermediate
CHEMBL19487,CCOC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],32000.0,inactive
CHEMBL19388,O=C(O)CC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],1000000.0,inactive
CHEMBL283112,CCOC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)c(C)c1.[Br-],10000.0,inactive
CHEMBL19318,NCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],64000.0,inactive
CHEMBL282917,O=C(CBr)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],40000.0,inactive
CHEMBL18766,NCCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],220000.0,inactive
CHEMBL18920,CCNC(=O)NC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],130000.0,inactive
CHEMBL19325,Cc1c[n+](CC(N)=O)ccc1/C=C/c1cccc2ccccc12.[I-],45000.0,inactive
CHEMBL428683,CC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],31000.0,inactive
CHEMBL18432,Cc1c[n+](CCO)ccc1/C=C/c1cccc2ccccc12.[Cl-],27000.0,inactive
CHEMBL19537,CCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],17500.0,inactive
CHEMBL552981,C[N+]1=CC=NC1/C=C/c1cccc2ccccc12.[I-],51000.0,inactive
CHEMBL1255901,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,80.0,active
CHEMBL45154,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/CF,10000.0,inactive
CHEMBL161248,O=[N+]([O-])c1cccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)c1,700.0,active
CHEMBL159878,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,11.0,active
CHEMBL350644,CN(CCC1CCN(Cc2ccccc2)CC1)C(=S)NC(=O)c1ccccc1,350.0,active
CHEMBL161062,O=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,1100.0,intermediate
CHEMBL160088,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1cccc(Oc2ccccc2)c1,100.0,active
CHEMBL347813,Fc1ccccc1/N=C(\S)NCCC1CCN(Cc2ccccc2)CC1,850.0,active
CHEMBL159800,COc1cccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)c1,700.0,active
CHEMBL159701,CCCN/C(=N\CCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,10000.0,inactive
CHEMBL100020,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1,13.0,active
CHEMBL159576,O=C(NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,15.0,active
CHEMBL159401,CC(=O)c1ccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)cc1,400.0,active
CHEMBL161003,CCN(CCC1CCN(Cc2ccccc2)CC1)/C(S)=N/Cc1ccccc1,260.0,active
CHEMBL159351,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)C(=O)c1ccccc1C2=O,2.0,active
CHEMBL161149,S=C(NCCC1CCN(Cc2ccccc2)CC1)NCc1ccccc1,6000.0,intermediate
CHEMBL161179,COc1ccc(N/C(S)=N/CCC2CCN(CC3CCCCC3)CC2)cc1OC,820.0,active
CHEMBL161199,Cc1ccccc1/N=C(\S)NCCC1CCN(Cc2ccccc2)CC1,400.0,active
CHEMBL159474,COc1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1,10.0,active
CHEMBL161100,CS(=O)(=O)c1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1,6.0,active
CHEMBL160009,CN(/C(S)=N/CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,420.0,active
CHEMBL162747,N#Cc1cccc(NC(=S)NCCC2CCN(CC3CCCCC3)CC2)c1,2200.0,intermediate
CHEMBL160095,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccn1,22.0,active
CHEMBL353129,COc1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1OC,5.0,active
CHEMBL158860,O=[N+]([O-])c1ccc(/N=C(\S)NCCC2CCN(Cc3ccccc3)CC2)nc1,2.6,active
